ph,N,P,K,moisture,season,soil_type,temperature,label
6.502985292000001,90,42,43,57.319067986,Kharif,Loam,20.87974371,rice
7.038096361,85,58,41,57.258007944,Kharif,Loam,21.77046169,rice
7.840207144,60,55,44,59.95102764400001,Kharif,Loam,23.00445915,rice
6.980400905,74,35,40,57.809578952,Kharif,Loam,26.49109635,rice
7.628472891,78,42,42,59.47161734199999,Kharif,Sandy,20.13017482,rice
7.073453503,69,37,42,60.064270623999995,Kharif,Clay,23.05804872,rice
5.70080568,69,55,38,60.43664278,Kharif,Sandy,22.70883798,rice
5.718627177999999,94,53,40,59.41541951,Kharif,Loam,20.27774362,rice
6.685346424,89,54,38,59.33897921599999,Kharif,Loam,24.51588066,rice
6.336253525,68,58,38,58.668303978,Kharif,Clay,23.22397386,rice
5.386167788,91,53,40,59.435117864000006,Kharif,Sandy,26.52723513,rice
7.50283396,90,46,42,58.873698919999995,Kharif,Sandy,23.97898217,rice
5.108681786,78,58,44,59.9095672,Kharif,Clay,26.80079604,rice
6.98435366,93,56,36,56.645216647999995,Kharif,Sandy,24.01497622,rice
6.94801983,94,50,37,56.781789102,Kharif,Loam,25.66585205,rice
7.042299068999999,60,48,39,57.42360691,Kharif,Sandy,24.28209415,rice
6.2490506560000005,85,38,41,60.73923231599999,Kharif,Clay,21.58711777,rice
6.970859754,91,35,39,56.501355162,Kharif,Clay,23.79391957,rice
5.953933276,77,38,36,57.097581156000004,Kharif,Sandy,21.8652524,rice
5.85393208,88,35,40,61.80450836800001,Kharif,Clay,23.57943626,rice
6.442475375,89,45,36,55.704757304000005,Kharif,Clay,21.32504158,rice
5.070175667,76,40,43,59.125653508,Kharif,Clay,25.15745531,rice
6.012632591,67,59,41,57.118548854,Kharif,Clay,21.94766735,rice
6.254028451,83,41,43,58.931340366,Kharif,Sandy,21.0525355,rice
7.375482851,98,47,37,57.761915093999995,Kharif,Sandy,23.48381344,rice
7.778915154,66,53,41,58.594490348,Kharif,Clay,25.0756354,rice
6.2865001760000006,97,59,43,61.280766082,Kharif,Sandy,26.35927159,rice
7.070959995,97,50,41,58.737527560000004,Kharif,Clay,24.52922681,rice
6.244841491,60,49,44,60.30188897,Kharif,Clay,20.77576147,rice
6.043304899,84,51,35,56.305663656,Kharif,Clay,22.30157427,rice
5.824709117,73,57,41,61.854324588,Kharif,Loam,21.44653958,rice
6.3573893660000005,92,35,40,56.202294486,Kharif,Loam,22.17931888,rice
6.364134967999999,85,37,39,58.629142338,Kharif,Sandy,24.52783742,rice
5.01450727,98,53,38,59.801040398,Kharif,Loam,20.26707606,rice
6.149410611,88,54,44,59.654882891999996,Kharif,Sandy,25.7354293,rice
5.950660556,95,55,42,57.022748328000006,Kharif,Loam,26.79533926,rice
5.960370061,99,57,35,59.59840029,Kharif,Loam,26.75754171,rice
5.561398642,95,39,36,61.301479386,Kharif,Clay,23.86330467,rice
7.416245107000001,60,43,44,61.70740424,Kharif,Clay,21.01944696,rice
5.583370042,63,44,41,60.518628656000004,Kharif,Sandy,24.17298839,rice
6.430010215,62,42,36,59.189047734,Kharif,Clay,22.78133816,rice
5.534878156,64,45,43,58.513061792,Kharif,Sandy,25.62980105,rice
6.903985986,83,60,36,56.120451492,Kharif,Clay,25.59704938,rice
6.271478837999999,82,40,40,62.830565462,Kharif,Clay,23.83067496,rice
7.224285503,85,52,45,60.041617699999996,Kharif,Sandy,26.31355498,rice
6.13428721,91,35,38,55.662689355999994,Kharif,Sandy,24.8972823,rice
5.206373153,76,49,42,58.566020263999995,Kharif,Clay,24.958779,rice
7.782051312999999,74,39,38,60.077024877999996,Kharif,Clay,23.24113501,rice
7.062779015,79,43,39,56.858331654,Kharif,Sandy,21.66628296,rice
7.730367824,88,55,45,58.396989231999996,Kharif,Sandy,24.63544858,rice
5.286203711000001,60,36,43,58.634054212,Kharif,Clay,23.43121862,rice
6.766240045,76,60,39,56.551894340000004,Kharif,Sandy,20.0454142,rice
7.382762603,93,56,42,57.139231171999995,Kharif,Clay,23.85724032,rice
5.658169482000001,65,60,43,58.234057218,Kharif,Clay,21.97199397,rice
5.543360237999999,95,52,36,61.76208981399999,Kharif,Clay,26.22916897,rice
6.215109715,75,38,39,62.233468366,Kharif,Loam,23.44676801,rice
7.120272972,74,54,38,58.777280818,Kharif,Sandy,25.65553461,rice
5.950647577000001,91,36,45,60.19164336199999,Kharif,Sandy,24.44345477,rice
7.236705436,71,46,40,56.952268212,Kharif,Clay,20.2801937,rice
6.501697816,99,55,35,59.261898468,Kharif,Sandy,21.7238313,rice
7.592490617,72,40,38,59.13086099,Kharif,Loam,20.41447029,rice
5.875345751,83,58,45,59.937469958,Kharif,Sandy,25.75528612,rice
6.932400225,93,58,38,61.445880222,Kharif,Sandy,20.61521424,rice
6.9462098810000015,70,36,42,56.53267158,Kharif,Loam,21.84106875,rice
5.739175027000001,76,47,42,60.520176976,Kharif,Sandy,20.08369642,rice
6.738652179,99,41,36,56.9514789,Kharif,Clay,24.45802087,rice
5.5948196260000005,99,54,37,56.147941323999994,Kharif,Sandy,21.14347496,rice
6.946636369,86,59,35,59.007225854,Kharif,Loam,25.78720567,rice
5.012139669,69,46,41,58.69600045399999,Kharif,Sandy,23.64124821,rice
6.363472207999999,91,56,37,59.121483742,Kharif,Loam,23.43191632,rice
6.880431223,61,52,41,58.527090388000005,Kharif,Loam,24.97669518,rice
7.300410836,67,45,38,59.737913083999985,Kharif,Sandy,22.72791041,rice
6.587918707999999,79,42,37,61.528513274000005,Kharif,Clay,24.87300744,rice
7.283736617000001,78,43,42,57.494712897999996,Kharif,Sandy,21.32376327,rice
7.023936392,75,54,36,61.04117558,Kharif,Loam,26.29465461,rice
6.939083505,97,36,45,60.238404854,Kharif,Sandy,22.2286982,rice
7.868474653,67,47,44,60.287758224,Kharif,Loam,26.73072391,rice
5.005306977,73,35,38,56.625408418,Kharif,Clay,24.88921174,rice
6.136131869,77,36,37,56.65926862799999,Kharif,Loam,26.88444878,rice
